Input_Model_Code,Official_Model_Title,Official_SKU,Source_Store,Shopify_Handle,JSON_Endpoint_URL,Product_URL,Vendor,Product_Type,Full_Description_HTML,Clean_Description_Text,Regular_Price,Sale_Price,Image_URLs,Tags,Status,Original_S.NO,Original_Model / Code,Original_Item Description,Original_PRICE,Original_,Original_01-04-2026,Warranty
AG-01,AG-01 Deluxe Pull Chopper,AG-01,Anex Pakistan Official,ag-01-deluxe-pull-chopper,https://www.anex.pk/products/ag-01-deluxe-pull-chopper.json,https://www.anex.pk/products/ag-01-deluxe-pull-chopper,Anex Store,,"<p><span>Easy to use.</span><br><span>Manual Food Cutter.</span><br><span>Easy to use string-operated chopper.</span><br><span>Quickly chops your vegetables and fruits.</span><br><span>onion, tomato, cucumber, carrot, pepper etc</span></p> <!---->","Easy to use.
Manual Food Cutter.
Easy to use string-operated chopper.
Quickly chops your vegetables and fruits.
onion, tomato, cucumber, carrot, pepper etc",2050,,"https://cdn.shopify.com/s/files/1/0701/9502/0031/files/HandyPullChopperAG-01Tittle.jpg?v=1722320656, https://cdn.shopify.com/s/files/1/0701/9502/0031/files/Handy_Pull_Chopper_AG-01_A.jpg?v=1722320671, https://cdn.shopify.com/s/files/1/0701/9502/0031/files/Handy_Pull_Chopper_AG-01_C.jpg?v=1722320671",Kitchen Appliances,FOUND,1,AG-01,Handy Pull Chopper,"1,550",,,2-Year Brand Official Warranty
AG-04,AG-04 Handy French Fries Cutter,AG-04,Anex Pakistan Official,ag-04-handy-french-fries-cutter,https://www.anex.pk/products/ag-04-handy-french-fries-cutter.json,https://www.anex.pk/products/ag-04-handy-french-fries-cutter,Anex Store,,"<p>Easy to use.<br>Perfect fries at home.<br>Cutting grid stainless steel.<br>Can be used both sides.<br>Stylish design easy to use.<br><iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/741_NItS4Ms?si=JgoKfFzOzwzSLbxu"" height=""315"" width=""560""></iframe><br></p>","Easy to use.
Perfect fries at home.
Cutting grid stainless steel.
Can be used both sides.
Stylish design easy to use.",2850,,"https://cdn.shopify.com/s/files/1/0701/9502/0031/files/ag-04-potato-cutter.jpg?v=1719745024, https://cdn.shopify.com/s/files/1/0701/9502/0031/files/ag-04-potato-cutter-1.jpg?v=1719745024",,FOUND,2,AG-04,Potato Cutter,"2,150",,,2-Year Brand Official Warranty
AG-08,AG-08 Manual Processor,AG-08,Anex Pakistan Official,ag-08-manual-processor,https://www.anex.pk/products/ag-08-manual-processor.json,https://www.anex.pk/products/ag-08-manual-processor,Anex Store,,"<pre>The admirable slicer/grater set comes with a transparent container/a safety holder/and 5 pcs of transparent container/a safety older/and 5 pcs of different inserts. <br>Take any one of the insert you want to use and put it on the transparent<br>container</pre> <p><iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/auzq7cjFZmA?si=1MFLhfV4OzO4qfZ3"" height=""315"" width=""560""></iframe></p>","The admirable slicer/grater set comes with a transparent container/a safety holder/and 5 pcs of
transparent container/a safety older/and 5 pcs of different inserts.
Take any one of the insert you want to use and put it on the transparent
container",3200,,"https://cdn.shopify.com/s/files/1/0701/9502/0031/files/AG-08ManualProcessor.jpg?v=1719744934, https://cdn.shopify.com/s/files/1/0701/9502/0031/files/AG-08ManualProcessor-1.jpg?v=1719744934, https://cdn.shopify.com/s/files/1/0701/9502/0031/files/AG-08ManualProcessor-2.jpg?v=1719744934",,FOUND,3,AG-08,Multi Wonder (5 BLADES),"2,400",,,2-Year Brand Official Warranty
AG-10,AG-1087 Insect Killer (2*10),AG-10,Anex Pakistan Official,ag-1087-insect-killer-2-10,https://www.anex.pk/products/ag-1087-insect-killer-2-10.json,https://www.anex.pk/products/ag-1087-insect-killer-2-10,Anex Store,,"<p>220 Volt<br>50 Hz<br>2x10 Watts<br>2 Years Warranty</p> <p><strong>Features:</strong><br>Assisted with 2x10 Watt.<br>UV-lamp with a low power consumption.<br>Doesn't contain vapours irritating odour or contamination.<br>Admirable for easy installation, easily replacable tubes and cleaning.<br>Suitable for home, factory, restaurant, hospital, hotel, office</p>","220 Volt
50 Hz
2x10 Watts
2 Years Warranty
Features:
Assisted with 2x10 Watt.
UV-lamp with a low power consumption.
Doesn't contain vapours irritating odour or contamination.
Admirable for easy installation, easily replacable tubes and cleaning.
Suitable for home, factory, restaurant, hospital, hotel, office",16500,,"https://cdn.shopify.com/s/files/1/0701/9502/0031/files/ag-1087-insect-killer.jpg?v=1719836088, https://cdn.shopify.com/s/files/1/0701/9502/0031/files/ag-1087-insect-killer-1.jpg?v=1719836089",,FOUND,4,AG-10,Handy Chopper With 10 Function,"2,250",,,2-Year Brand Official Warranty
